Attacker,Fast Move,Charged Move,Level,Arceus (Flying),Arceus (Flying),Articuno (Galarian),Articuno (Galarian),Moltres (Galarian),Moltres (Galarian),Lugia,Lugia,Thundurus,Thundurus,Thundurus (Therian),Thundurus (Therian),Tornadus,Tornadus,Tornadus (Therian),Tornadus (Therian),Yveltal,Yveltal,Zapdos,Zapdos,Mega Aerodactyl,Mega Aerodactyl,Mega Pidgeot,Mega Pidgeot,Aerodactyl,Aerodactyl,Braviary (Hisuian),Braviary (Hisuian),Drifblim,Drifblim,Farfetch'd,Farfetch'd,Fearow,Fearow,Golbat,Golbat,Noctowl,Noctowl,Swellow,Swellow,Togekiss,Togekiss,Togetic,Togetic,Tranquill,Tranquill,Xatu,Xatu
Mega Mewtwo Y,Psycho Cut,Ice Beam,45,0.8671694870843495,0.8898802431909312,0.9309384563597008,0.9740803027782321,0.9770273899308539,1.0442847729167934,0.99495834118764,1.0339747032934925,0.8978290526271347,0.9383754597779645,0.817168730873827,0.8473826601058903,0.8625167278364841,0.896956230691293,0.8728899909324379,0.8946204572613736,0.9580217051151533,1.0069651969705302,0.8978186477270322,0.9232979656235983,0.8353657010501683,0.8578975289297248,0.8929522678388262,0.9208628006997346,0.8756368556941152,0.9501706683921756,0.979833510836888,1.071283060536494,0.9668256700794386,1.0291924825149643,0.9114252254175953,0.9901035315036438,0.8941803676012883,0.9670953642254504,0.8791373970927168,0.9124184930862399,0.9227128334830961,0.9702463145166992,0.8801294342760396,0.9641684048127109,0.8540598704588013,0.9070893666528521,0.9393122847954825,0.9817695169651192,0.898435332070356,0.9217066046000938,1.0198278131736949,1.1046059204919287
Shadow Tyranitar,Smack Down,Stone Edge,35,1.0668357145587941,1.07283364261587,1.056167625188419,1.0810381909448281,1.063175304076316,1.0812884786173405,1.151196244032966,1.1669341967088074,1.145010071670892,1.1395976558784418,1.1702505808539998,1.0615977605094988,1.07136773291833,1.0634694538228675,1.18528883179584,1.0872485929705014,1.1669443556183834,1.0740944768815273,1.1503387108494658,1.1404582503682636,1.0781175123008429,1.07288018222675,1.0806759427899784,1.088117299297519,1.1286856906565994,1.115746288943598,1.1395001367475663,1.1556645857519119,1.1558788375841773,1.225761599040244,1.1012456627932705,1.135822514769768,1.095707021667837,1.12208038935418,1.1656013895095563,1.2301300630585892,1.1123776679432784,1.1721456744623926,1.0718763762409962,1.125900139252046,1.0593036252746606,1.0896680503855147,1.1450887120115123,1.1624822708762543,1.0728361938394264,1.1237555676399529,1.1277069981834678,1.1845617905491126
Avalugg (Hisuian),Powder Snow,Avalanche,30,1.437989889847607,1.4485749225394957,1.4756106337341592,1.4925321724927771,1.457561608495892,1.4824742845701955,1.4806217329398195,1.5128711397202514,1.5175724929732015,1.5456815080202062,1.5600008447946112,1.4324574590516974,1.4791719529654936,1.4551710589952729,1.6164952671050759,1.4985319733114082,1.5604071430744946,1.4838706405459325,1.4921635676004947,1.5161865318961492,1.525044739062441,1.5133080957166425,1.415033210870321,1.4563167899347338,1.5234953805627558,1.5408019978635341,1.5008809344058056,1.556123183851709,1.5561581440718468,1.6654073670848584,1.4800128737424947,1.5551968340850018,1.4710967484319477,1.5452369823244583,1.5377659211107533,1.627241929220522,1.486217965774651,1.5920087720482035,1.4202976186898286,1.4963194381831115,1.4615498510114564,1.4849420714643657,1.517613292720455,1.608128187134924,1.4566840467377722,1.5431105492750918,1.4883900208605594,1.5609020199969081
Avalugg (Hisuian),Powder Snow,Glaciate,30,1.3276071771858755,1.3342506271056283,1.345381549617276,1.3548239400515845,1.3042462376399775,1.3516382959289683,1.3654071332221516,1.3903911004060883,1.4251350857910845,1.4319374688146362,1.522439337514836,1.3113311077842513,1.3510012264806412,1.3313341188788217,1.5722309750982149,1.3649587507004843,1.4434031835378944,1.3373107715731218,1.3814346697167763,1.3899093808910925,1.418847678367022,1.438181555760111,1.288561121166401,1.3323645211487847,1.390378980188555,1.3977307389440448,1.3774981736864955,1.4343932097403234,1.457945628533594,1.5413980482834684,1.3574048444971714,1.4230610859523465,1.29880223610694,1.38364579593379,1.3555034716564098,1.4724695225411393,1.318484117552847,1.450911693962189,1.2976006571895131,1.353799577234795,1.320792985930018,1.3620274015221923,1.362370085827489,1.4758580085675947,1.269382725365454,1.3606721863363311,1.3300415742396874,1.4386858912335343
Avalugg (Hisuian),Powder Snow,Blizzard,30,1.6191178992489144,1.6503726437074504,1.6659750692292576,1.6895215915960056,1.599028213116162,1.66095894482859,1.6636130698814409,1.7100115846096717,1.7511477407503786,1.788619935437266,1.8224564873070765,1.632390856460163,1.6637371822452482,1.6601446343221693,1.9112722218288647,1.6928398263296678,1.769784523694493,1.6718358273733864,1.7158154449108867,1.7351305342232766,1.7412269596707386,1.7757107004475055,1.5612154051460985,1.6498392258594907,1.7207303228820083,1.7655649956543213,1.682566905749437,1.7727081539793959,1.7196635289293298,1.8711147903066694,1.6228802478902777,1.7221507947612886,1.6362367986668263,1.728781145587061,1.6981029762394677,1.8123792000008838,1.6528348699610396,1.792522455287397,1.5869930574339555,1.6828370350334105,1.6389056071655066,1.6926061433555841,1.7066831350777305,1.831181081852774,1.6132225153323194,1.751595596217899,1.6631427951387292,1.774146896381293
Avalugg (Hisuian),Powder Snow,Rock Slide,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avalugg (Hisuian),Tackle,Rock Slide,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avalugg (Hisuian),Bite,Rock Slide,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avalugg (Hisuian),Tackle,Blizzard,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avalugg (Hisuian),Bite,Blizzard,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darmanitan (Galarian Standard),Ice Fang,Avalanche,30,1.336105093163258,1.2710075405260999,1.4443587021359352,1.3701130532544188,1.274713883883494,1.2973414121204128,1.29311297856729,1.3405532770603164,1.2770314511813274,1.3390588959347793,1.3202145501330207,1.241368553420795,1.3884725885313443,1.2824510537662115,1.4518181069415739,1.3322308081219196,1.4191302152093825,1.2788340694181453,1.3737462800118794,1.3051541702267013,1.5646224760144114,1.3429226296357997,1.456775102786531,1.3720358126173842,1.332894521892393,1.3224573313066261,1.329670203380753,1.349564776658136,1.3305453367890052,1.3641247195576627,1.200373701048445,1.2662649811436366,1.2562885803340311,1.2761110722218585,1.298160498075762,1.3300599652254352,1.2854265700410517,1.3014710020031455,1.2520429978260652,1.301158697242008,1.2663263635104929,1.3009283934281515,1.2924576447801543,1.316453572089284,1.2443633843681818,1.250768245757413,1.3180899350462174,1.328251131614672
Avalugg,Ice Fang,Avalanche,40,1.3723018309339672,1.4202743200891574,1.4548313128308585,1.489556844154109,1.431402082289831,1.4826514949104415,1.4652030752915086,1.5140303171577962,1.46222806143047,1.5093481641739526,1.3380022084685352,1.3908004867494197,1.3970465648636725,1.4447703513162988,1.4202408022954103,1.4589631403574375,1.3902094758752275,1.441091790034054,1.4486648760789649,1.485419065273898,1.4413521753049585,1.4484852439785558,1.434178261820806,1.4599876495152153,1.4336566907497668,1.472487259695458,1.4738107385521624,1.5370774653367656,1.5391923669259557,1.6232878184157182,1.4375321760669966,1.52272949424362,1.3936499997365566,1.4918893327281664,1.535221905582067,1.618376127627771,1.449308617260833,1.5470666575340675,1.4080355443352466,1.5040316973722436,1.3662959309107359,1.4528554751386276,1.4802168710889212,1.5817794796336198,1.427674708483143,1.487388169805706,1.4863110151172043,1.5705471371167774
Shadow Aerodactyl,Rock Throw,Rock Slide,45,1.0993657355638975,1.0874466384841062,1.1328847871896224,1.1295092666716648,1.1093276188693024,1.0947829321386895,1.1729852548245148,1.1766825644280623,1.292927929156152,1.2009558757654275,1.2773844443305742,1.0941835198575207,1.1198770055461504,1.0844927602765946,1.0919286388269014,1.080233019701544,1.114029529163746,1.0771348906336167,1.2960337795392094,1.1942409520667303,1.150464126987539,1.0961937057455626,1.0869192833309183,1.1060259757972173,1.1245340041376477,1.1395561887951686,1.1818611726224637,1.160469625429636,1.1967767888582124,1.1924711370754537,1.0655995872621569,1.121670350404968,1.0578100596209878,1.105987069448929,1.1514463040839213,1.1953588127080539,1.092020476373686,1.141741418603291,1.0743709313858083,1.0955149620813671,1.0836725471008322,1.0823427900860476,1.1541412367302581,1.1642230971565732,1.0567592530734733,1.1140342891507071,1.1290060921940526,1.164269470987812
Glaceon,Frost Breath,Avalanche,30,1.4052807926855888,1.3534034260723187,1.44912676087279,1.4209670444020064,1.388841169652023,1.382823762494411,1.4580099633804822,1.462575957503562,1.4267815096411227,1.4474777221374837,1.416068962938445,1.3013595884419171,1.3963343899406522,1.3863393853076895,1.4926859833622035,1.3796498817492073,1.461643477281378,1.3664711544261983,1.4385551323450305,1.407754488073054,1.5199404553979758,1.4125783749298493,1.4606567919615772,1.42266588623726,1.4665756850027503,1.430746489955165,1.4420359088796566,1.4190179656277466,1.4580995920587194,1.5105288010960631,1.3488869097867633,1.4082556852582164,1.3894571110503937,1.380481408804577,1.4494510844357587,1.5087548639923432,1.3769394572333367,1.4090814531934348,1.4046512187058575,1.3790258367645436,1.4168953406729237,1.3719478667778389,1.4256606231979234,1.4392132432672091,1.3865557425137216,1.4001455896814785,1.4030947875773734,1.4278447160654215
Kyurem,Dragon Breath,Glaciate,45,1.210331028527828,1.1905536458337307,1.2509881104478604,1.222223598105916,1.1778788651158258,1.243936866652408,1.2263177699486671,1.2643371276888506,1.253407976743242,1.321736074349048,1.1237453876753238,1.1314147262934706,1.2765218579633635,1.2617638758449032,1.2196619190275215,1.2269614055165436,1.240908200356716,1.2157336193324897,1.2121197395900796,1.2550376546775266,1.224124315862771,1.2408254405003096,1.2520453596178927,1.2752532843860134,1.2100301262097386,1.2501742100245425,1.3265067623926268,1.3526998102277894,1.364237851976612,1.441348391555672,1.2577507158035135,1.3761803933167063,1.1986488744572126,1.2992270949201352,1.3253723406507958,1.4239571083014284,1.2442236098227724,1.3506475360782224,1.2248862441018242,1.2908281188952002,1.5776503362228294,1.6291196169849986,1.5738690608279426,1.7024068396720062,1.264556204736153,1.3432054629476105,1.2940583390646934,1.376511527653185
Kyurem,Steel Wing,Glaciate,45,1.2946460594726117,1.2762077425833438,1.3637184754750429,1.343781868942035,1.2600635998344518,1.3390288463356295,1.2806800679586492,1.3216648608030588,1.4690261722712468,1.5758238935894766,1.3979542929184514,1.426283937776953,1.289425409419025,1.2672433581251108,1.330571106561007,1.3434627469195415,1.3092335624778788,1.2857145983955791,1.4413341235646269,1.4955004907108447,1.063032905378898,1.0729210250945642,1.3139972476603694,1.3225491059631815,1.1062986814917484,1.1227651661631806,1.3490450141327381,1.3945861206566759,1.3884957698948144,1.463475282583449,1.3087074377914634,1.4364803488642746,1.2768994451883582,1.386691144315006,1.3937243381996733,1.5125576760441621,1.308483327362345,1.4221165409618712,1.278261052505034,1.333489816567988,1.0596356428295148,1.0641157244704105,1.1107531402286102,1.1555316591549045,1.2916541620845379,1.3572563556449693,1.3723395809748464,1.4663065059168565
Kyurem,Dragon Breath,Blizzard,45,1.4116022022171197,1.3901328995155153,1.4647292819591717,1.4273496019087777,1.3832232829787192,1.4595419454369818,1.4488444443202564,1.4814916712825272,1.4800413672945059,1.5641407930503146,1.3102735564976018,1.323884559508856,1.5015312917454495,1.4801661033681537,1.4225612911377812,1.4429386072582133,1.4527285141621367,1.432813812093643,1.428515095188297,1.4719893223822516,1.440804635204863,1.4786389498162453,1.4784914981497952,1.504815457806141,1.4256223700986679,1.4640404186400897,1.5654881184117098,1.5992740525117506,1.597037606276271,1.7250780335708236,1.4762765263972508,1.5777007946839225,1.4081280921660235,1.5101231860986226,1.5380704701415822,1.6603347351058675,1.4474869692833174,1.5654827304332577,1.4335803804886846,1.5132814394053236,1.9175581106861062,1.9838065301939882,1.9010277902936301,2.053660072850513,1.4661738217106774,1.54779498785195,1.5089076902796255,1.6244813960601778
Kyurem,Steel Wing,Blizzard,45,1.5127915900241908,1.4942589243715403,1.592613169441752,1.578623126476013,1.4802265832365853,1.5781695538513298,1.5123431368692726,1.5467347901039104,1.7688331952622496,1.900224993249323,1.6586330392247832,1.7169136536812966,1.4913544918148225,1.4839902697699865,1.5555115637239076,1.5931449166394929,1.5220806758918835,1.5094234515393186,1.729465981151632,1.7848775155458796,1.2229315812869035,1.2283223792045312,1.538068096254223,1.5696728352791978,1.2656721539633737,1.2720378871706122,1.592051052526249,1.6405326027546556,1.644454234600745,1.7706807936605091,1.5491249546578567,1.6828051097970638,1.504118371860038,1.632334845498017,1.6119288577883075,1.7528251894086906,1.5347570512195372,1.6524058754525666,1.5010304651419066,1.5706343080976568,1.2100862631836529,1.2206703184224528,1.2712026816382769,1.3234156768890546,1.49349490580343,1.5712311189463541,1.6016666782946263,1.7315136555697985
Kyurem,Ice Shard,Glaciate,45,1.0730958779254158,1.0590727949452121,1.0889597060255813,1.0687493792332279,1.0553622869518295,1.0893142848161943,1.0771517164015332,1.1190921016232998,1.0285218461207513,1.074246578578446,1.0053768522583484,0.9847755777725767,1.045493012832672,1.0331852635842014,1.0773784207863653,1.078502941913603,1.0645113519706129,1.048780455253286,1.0319768310529844,1.0518046658611313,1.0399381829376615,1.041308722178675,1.0877057743251985,1.0856426561498123,1.052690396241658,1.0916855872792224,1.0978926109773952,1.137657555096597,1.0834027190620523,1.1712557442500868,1.0782633798834953,1.1442798606611897,1.0489855926609206,1.110827464192407,1.1051125017745413,1.1704851296662608,1.070835783051203,1.147486723144493,1.0255602039691842,1.0775619871968263,1.06699747378966,1.0701428668820923,1.1081137682728317,1.1511126755301408,1.0318341565300224,1.0707351471236923,1.0859033878121602,1.1468956468958305
Frosmoth,Powder Snow,Ice Beam,45,1.4066928452696388,1.417853083293004,1.651833633002529,1.5451253209270304,1.5969726642800215,1.5380584261125132,1.5135925179284178,1.5671922765065565,1.4225401117125533,1.503484153531694,1.3674843863028787,1.3691980960268342,1.5619203680841718,1.5029380255381763,1.6512628358344188,1.565078877300627,1.4766804808245146,1.4818926873225964,1.483817433782522,1.494145233988726,1.7604235681772642,1.5230650115580708,1.6337309355965788,1.6136575146164769,1.5702643270196557,1.5049689740242005,1.5627685790129797,1.5361212408071179,1.45026632922951,1.5327418020564343,1.3989301796200964,1.4629118398421552,1.4171757897090005,1.4749508678199463,1.4845006822892586,1.528905090995531,1.4250363415486833,1.4856007514533436,1.5824752802572657,1.555705026097236,1.4634234823937218,1.5108679991256777,1.4922015861948623,1.4931971478560533,1.4701237119991952,1.5149022888779429,1.4803247578967003,1.5252789333317665
Kyurem (Black),Ice Shard,Avalanche,35,0.9770024253481305,0.9893972504244211,0.9989807637815923,1.0113267754111024,0.9869807344115831,1.00257319436216,1.011418316894995,1.0431022852467786,0.9791004190383039,1.0139299545477447,0.9417866690487106,0.9280036487741016,0.9499437175993625,0.9651983300693219,0.981676385275752,1.000836808126094,0.9960588810905836,0.992954032112979,0.9819882226046031,1.000326191034338,0.9710446331166562,0.976229374159823,0.983908284390749,1.016321961226676,0.9934790252406714,1.0129035067903622,1.0477293339645755,1.0527886894864429,1.0430970903453776,1.1084583562927497,0.9813794489180552,1.044425331298822,0.9597636612299493,1.025770214194477,1.032843348190686,1.1184539220446545,0.9975832392701083,1.0582010528121402,0.9681396728077821,1.0207959606888468,0.9847394217431202,0.9938638601515444,1.025743145301469,1.076418108590386,0.9702752669576844,1.0146491280599592,1.020579101765822,1.076965770836416
Kyurem (Black),Dragon Tail,Ice Beam,35,1.131247394918747,1.1570006655275304,1.1601600292051175,1.1902371864023569,1.1557402369744136,1.1915649700257138,1.1953895345600598,1.2372963531442411,1.1434253431662227,1.203117411770944,1.0930537801789026,1.1006535848143784,1.1116544012671221,1.1524866927621509,1.1394567822265722,1.1755737549013832,1.1417625142870564,1.1686361139419783,1.1393603717773486,1.1864808450179822,1.1158838834197147,1.1584096769958687,1.1321877879846074,1.1834011947010359,1.1595851567954034,1.1968939405541794,1.2116706960297008,1.2395672185925546,1.2055902051063603,1.3212988884293773,1.1601463504023155,1.2540245365927951,1.1212445213197157,1.2135210028308867,1.2233330405685454,1.3158622723960918,1.1812392308959563,1.2642081302369748,1.139524739779,1.1994917801220206,1.3482080961960654,1.4278800098115263,1.4547726208464937,1.5749943622399258,1.1354473028928824,1.1981932248991354,1.1998087445438859,1.2847288292492878
Kyurem (Black),Shadow Claw,Ice Beam,35,1.1537014681362696,1.195744056981567,1.0707241753121526,1.0822497515249037,1.3344684361734138,1.3971485535149033,1.0979828421104898,1.1327538305910072,1.2052017971816409,1.2695943977108135,1.139261679516316,1.1500552001724673,1.1647128862082434,1.2119940767355282,1.1958233769703404,1.2388109425346263,1.3026591408601007,1.3527799769271713,1.198106259969004,1.2512476946699995,1.1463951946677025,1.2026851882418603,1.3379259330819668,1.428514087034927,1.2083565453833067,1.2533840775866358,1.1114638413139153,1.1330838275329875,1.1340840516207582,1.195438387089075,1.4474111818975375,1.6007245458988488,1.3377013365608903,1.5021382189274244,1.269065202032561,1.3856459081701813,1.4586645067560438,1.5689402340135166,1.3591195463789458,1.4755085905488934,1.1808906466962588,1.2320779749271924,1.2606216074975682,1.360047088612685,1.4490823915522446,1.5450849059684268,1.0864870501861514,1.15718033239563
Kyurem (Black),Dragon Tail,Blizzard,35,1.2247732556774347,1.203806298682754,1.2756343841348567,1.2569895424146458,1.2603328319966252,1.2649991583647722,1.276899755260881,1.304006624198601,1.21605854448492,1.2606660383207253,1.1899825939995576,1.1534890248254208,1.2093609809282793,1.2049356741212822,1.2240328981834745,1.2342064641554609,1.2703729288772843,1.2340594886074572,1.2141610028676326,1.230905662145737,1.227210639413521,1.2388774199591108,1.236806149480645,1.2522546738155516,1.2516225462230886,1.256833276539589,1.3082107675950851,1.298310354148227,1.2626125644942061,1.3914641059796573,1.227049713557019,1.2876001588881543,1.2061189981024554,1.2608590585739887,1.2753491496287686,1.3577594913331494,1.2538954227430066,1.306528645593958,1.205466394173454,1.264501026858614,1.6164210934697825,1.6441469723545954,1.673626730919877,1.7869804427115803,1.1652840723757714,1.2600425784627192,1.2609556493707497,1.3300995365584887
